phoneme,pattern,grouplen,indexp
gg,(gg)[ei]|(jj),2,0
g,(g)[ei]|(j),1,1
gl,(gl)i,2,2
ggh,ggh,3,3
gh,gh,2,4
gg,gg,2,5
g,g,1,6
i,(i)[aeou]|i|y|í,1,7
ì,ì,1,8
ssc,(ssc)[ie],3,9
sc,(sc)[ie],2,10
cc,(cc)[ei],2,11
c,(c)[ei],1,12
cch,cch,3,13
ch,ch,2,14
cc,cc|kk|qq,2,15
c,c|k|q,1,16
ss,ss,2,17
s,s,1,18
u,w|(u)[aeiou],1,19
ù,ù|u,1,20
a,a,1,21
à,à,1,22
e,e|é,1,23
è,è,1,24
o,o,1,25
ò,ò,1,26
bb,bb,2,27
b,b,1,28
dd,dd,2,29
d,d,1,30
ff,ff,2,31
f,f,1,32
h,h,1,33
ll,ll,2,34
l,l,1,35
mm,mm,2,36
m,m,1,37
nn,nn,2,38
n,n,1,39
pp,pp,2,40
p,p,1,41
rr,rr,2,42
r,r,1,43
tt,tt,2,44
t,t,1,45
vv,vv,2,46
v,v,1,47
xx,xx,2,48
x,x,1,49
zz,zz,2,50
z,z,1,51
",","[,]",1,52
;,[;],1,53
:,[:],1,54
—,[—],1,55
 ,[ ],1,56
!,[!],1,57
?,[?],1,58
',['],1,59
(,[(],1,60
),[)],1,61
.,[\.],1,62
’,[’],1,63
